2016-04-18,-0.0,0.0,-0.0,-0.078,-0.13,-0.124,-0.0,0.0,-0.0,0.027,-0.0,-0.0,0.0,0.0,-0.205,0.0,0.0,0.0,0.0,-0.0,-0.204,-0.212,-0.128,0.0,-0.151,0.145,-0.0,-0.0,-0.0,-0.095,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.163,-0.083,0.0,-0.081,-0.0,-0.0,0.0,-0.0,0.094,-0.079,-0.0,-0.0,0.0,0.106,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.095,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.11,0.116,-0.056,-0.0,0.0,-0.0,-0.0,-0.005,-0.0,0.006,0.0,-0.047,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.271,0.0,-0.118,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.125,-0.136,-0.047,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.03,-0.216,0.0,-0.134,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.064,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.015,-0.0,-0.123,-0.117,-0.0,-0.0,-0.075,-0.0,-0.0,0.0,-0.0,-0.0,0.027,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.194,-0.0,-0.315,-0.0,0.0,0.0,0.0,-0.0,-0.226,-0.0,-0.0,-0.0,-0.078,-0.0,0.0,-0.0,-0.0,-0.196,0.025,0.0,-0.0,0.0,-0.0,-0.0,-0.154,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.13,-0.0,-0.075,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.059,0.222,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.038,-0.0,-0.0,0.006,0.0,-0.0,0.0,-0.025,-0.092,0.0,-0.215,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,-0.0,0.001,0.012,-0.0,-0.0,0.019,-0.0,0.0,-0.0,0.015,0.0,-0.0,-0.0,-0.0,-0.064,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.027,0.0,0.0,-0.0,-0.082,0.0,0.0,-0.0,-0.0,-0.043,-0.0,-0.0,-0.0,0.0,-0.0,-0.027,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.007,0.606,0.0,0.0,0.0,0.295,-147.464
2016-04-19,-0.0,0.0,-0.0,-0.078,-0.133,-0.0,-0.0,0.0,-0.117,0.0,-0.0,-0.0,0.0,0.0,-0.202,0.0,0.0,0.0,0.0,-0.151,-0.0,-0.0,-0.128,0.0,-0.0,0.0,-0.0,-0.224,-0.209,-0.095,0.0,-0.0,-0.077,-0.01,-0.0,0.139,0.0,0.0,-0.0,-0.108,0.048,-0.0,-0.0,-0.072,0.0,-0.0,0.0,-0.074,-0.0,-0.0,0.0,0.0,0.0,-0.113,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.093,0.0,0.002,-0.0,-0.0,0.0,-0.083,0.0,0.0,-0.0,-0.0,0.0,-0.104,0.0,0.084,-0.084,-0.182,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.217,-0.082,-0.246,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.145,-0.0,-0.117,-0.0,-0.009,-0.108,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.067,-0.225,0.0,-0.128,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.104,0.0,-0.0,-0.0,0.004,0.0,-0.104,0.0,-0.0,-0.088,-0.0,-0.0,-0.072,0.0,0.0,-0.0,-0.109,-0.0,-0.0,-0.279,-0.146,0.0,0.0,0.0,-0.009,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.106,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.086,0.0,-0.0,0.073,-0.0,-0.0,-0.0,-0.0,-0.0,-0.071,0.0,-0.0,-0.0,0.071,-0.0,-0.102,-0.0,-0.0,-0.0,-0.0,-0.059,0.247,-0.063,-0.0,-0.03,-0.0,0.108,-0.125,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.109,0.0,-0.0,-0.0,0.0,-0.229,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.079,0.0,-0.0,0.011,0.0,-0.0,-0.0,-0.061,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.135,-0.0,-0.019,0.0,0.0,-0.0,-0.079,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.017,-0.0,0.0,-0.0,-0.034,0.0,0.0,0.0,0.0,-0.0,0.619,0.0,0.0,0.0,0.0,-152.122
2016-04-20,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.029,0.0,0.0,0.0,-0.172,0.0,0.0,0.0,0.0,-0.096,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.018,-0.0,-0.0,-0.045,0.145,-0.0,-0.0,0.0,-0.0,0.197,0.0,0.0,-0.145,-0.0,0.094,-0.025,-0.0,-0.023,0.0,-0.005,0.0,-0.0,-0.015,0.0,0.0,0.268,0.0,-0.0,0.0,0.061,-0.0,-0.0,0.0,-0.057,0.0,-0.029,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.044,0.0,-0.0,0.0,0.0,-0.0,0.056,0.0,-0.028,-0.103,0.077,-0.059,0.0,0.0,0.041,-0.0,0.0,-0.0,-0.0,-0.167,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.228,-0.0,0.0,-0.005,-0.0,0.0,0.0,0.012,0.0,0.0,-0.138,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,-0.026,-0.0,-0.06,-0.022,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.012,0.0,-0.075,-0.0,0.0,-0.0,-0.0,-0.074,-0.0,-0.0,-0.0,-0.045,-0.065,0.215,0.0,-0.0,-0.014,0.044,-0.0,0.0,-0.0,-0.026,-0.041,-0.0,-0.0,0.0,0.0,0.0,-0.074,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.046,-0.047,-0.0,0.098,0.0,0.0,0.0,0.0,-0.034,-0.0,0.0,0.0,-0.0,0.0,0.0,0.171,-0.0,-0.0,-0.0,-0.0,-0.0,-0.043,0.0,0.0,-0.0,0.0,0.0,-0.027,-0.0,-0.0,0.009,-0.0,-0.0,0.0,-0.0,-0.0,-0.021,0.0,0.0,-0.087,-0.0,0.0,0.0,-0.0,0.0,-0.025,-0.0,-0.0,0.0,0.0,-0.197,0.0,0.0,-0.0,0.0,-0.001,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.109,-0.0,0.0,0.0,0.003,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.132,0.0,-0.0,0.0,-0.0,-0.019,0.0,-0.0,-0.0,0.0,-0.029,-0.0,-0.002,-0.0,-0.0,-0.124,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.028,-0.0,-0.0,-0.0,0.0,-0.0,-0.012,0.0,-0.132,0.0,-0.048,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.034
2016-04-21,-0.0,0.0,-0.0,-0.048,-0.097,-0.061,-0.0,0.196,-0.0,0.059,0.0,0.0,0.0,0.119,-0.0,0.031,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.103,0.0,-0.0,-0.0,-0.0,-0.05,0.0,-0.0,-0.0,0.057,-0.0,0.0,0.084,0.043,-0.173,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.026,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.03,0.0,-0.0,0.0,0.0,-0.034,0.0,0.0,-0.0,0.0,0.0,0.11,-0.077,0.061,-0.0,0.098,0.0,0.0,-0.0,0.041,-0.0,-0.033,-0.11,-0.033,-0.056,0.048,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.023,-0.0,0.004,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.38,-0.0,-0.0,-0.0,-0.0,-0.137,-0.0,-0.0,-0.0,0.004,-0.0,0.013,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.223,0.005,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.081,0.0,0.0,-0.016,-0.0,-0.0,-0.0,-0.021,0.03,0.083,0.0,0.046,-0.0,0.0,-0.0,-0.0,-0.144,-0.0,0.0,-0.042,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.074,-0.0,0.0,0.0,0.0,-0.053,0.243,0.048,0.239,-0.037,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.167,0.0,0.004,-0.029,-0.0,0.0,0.0,-0.176,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.156,-0.0,0.0,0.0,0.0,-0.066,0.0,-0.0,-0.0,-0.0,0.041,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.182,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.056,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.135,-0.0,0.0,-0.025,0.0,-0.0,-0.0,0.0,-0.0,-0.073,0.004,-0.064,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1,-0.036,-0.011,0.0,0.0,-0.0,0.038,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,-152.445
2016-04-22,-0.024,0.0,-0.0,-0.062,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.123,0.0,0.0,0.0,0.384,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.05,0.0,-0.0,-0.043,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.057,-0.0,0.0,0.0,0.0,-0.0,0.0,0.062,-0.0,-0.112,0.0,-0.0,0.0,-0.0,0.0,-0.002,-0.026,-0.0,0.14,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.168,-0.003,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.146,-0.0,-0.144,-0.04,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,-0.0,0.0,-0.027,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.413,0.0,-0.0,0.0,-0.0,-0.026,-0.0,-0.0,-0.0,-0.061,-0.0,-0.034,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.162,-0.08,-0.0,-0.0,-0.052,-0.0,-0.0,0.019,0.0,-0.0,-0.0,-0.0,0.0,-0.005,-0.074,0.008,0.0,-0.0,0.0,-0.0,-0.051,-0.0,-0.0,-0.028,0.0,0.0,0.0,-0.0,-0.0,0.007,-0.236,0.0,0.0,0.085,0.0,0.0,-0.205,-0.0,-0.0,-0.0,-0.115,-0.0,0.0,-0.013,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.029,0.008,0.125,0.0,-0.0,0.0,0.0,0.243,-0.0,-0.0,-0.0,-0.135,-0.0,-0.032,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.358,0.0,-0.023,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.201,0.13,0.0,-0.078,0.0,0.0,0.0,0.0,-0.145,0.0,-0.0,0.008,-0.109,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.013,0.0,-0.014,0.0,0.02,0.0,0.344,-0.0,-0.0,0.0,-0.0,0.0,-0.096,-0.02,0.0,-0.0,-0.083,0.0,-0.0,-0.088,-0.0,-0.0,-0.0,-0.126,-0.0,-0.0,-0.0,0.0,0.0,-0.05,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.035,0.043,-0.0,-0.0,0.075,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,0.0,0.0,0.0,0.0,-151.468
2016-04-25,-0.0,0.0,-0.0,-0.0,-0.061,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.302,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.206,-0.0,-0.053,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.15,-0.002,-0.0,-0.0,0.034,-0.033,0.0,0.0,0.0,-0.026,-0.021,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-0.0,0.0,-0.0,0.0,-0.0,-0.001,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.236,0.046,-0.0,0.027,-0.0,0.074,0.0,0.0,-0.0,-0.0,-0.16,-0.024,-0.123,-0.016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.113,0.0,0.0,0.0,-0.0,0.0,-0.085,0.0,0.0,0.044,-0.015,0.257,-0.0,-0.0,-0.007,-0.071,-0.083,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.066,-0.0,-0.0,-0.042,-0.0,-0.059,0.055,-0.0,-0.007,-0.015,-0.0,0.0,-0.007,-0.0,0.004,0.0,-0.046,0.0,-0.0,-0.0,-0.0,-0.158,-0.0,0.0,0.0,0.026,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.031,-0.0,0.14,0.0,-0.026,0.0,0.126,-0.026,0.0,0.0,0.0,-0.0,0.281,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.049,0.026,-0.0,0.0,-0.222,-0.0,0.0,-0.0,-0.0,-0.0,0.028,0.0,-0.105,0.001,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.043,-0.0,0.0,-0.115,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.085,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.315,-0.0,-0.0,0.0,0.018,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.044,-0.0,-0.089,-0.0,-0.0,0.0,0.0,-0.0,0.036,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.009,0.0,-0.0,0.0,-0.0,0.038,0.0,0.0,0.0,0.0,0.0,1.123,0.0,0.0,0.0,0.0,-150.671
2016-04-26,-0.0,0.0,-0.0,-0.046,-0.0,-0.075,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.118,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.002,-0.241,-0.0,-0.057,0.0,-0.016,-0.0,0.133,-0.0,0.0,0.0,-0.0,-0.158,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.009,0.0,-0.033,-0.057,-0.0,0.0,0.0,0.0,-0.035,0.0,0.0,0.0,-0.0,0.204,-0.0,0.0,-0.0,-0.0,0.0,0.008,-0.0,0.081,-0.0,0.0,0.0,-0.059,0.0,0.0,-0.0,0.0,0.0,0.043,-0.0,0.029,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.178,-0.0,-0.146,-0.039,-0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.029,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.302,0.0,0.034,0.179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014,-0.0,0.0,-0.137,0.013,0.0,-0.0,-0.0,0.0,-0.061,-0.101,-0.0,-0.0,-0.0,-0.0,0.03,-0.003,-0.014,-0.032,-0.052,0.0,-0.0,-0.0,0.001,0.12,-0.0,0.0,-0.0,-0.0,-0.0,-0.144,-0.0,0.092,0.0,0.0,-0.0,-0.12,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.085,-0.07,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.019,0.0,-0.0,-0.0,0.0,0.149,-0.0,0.0,0.0,0.0,-0.0,-0.088,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.069,0.0,0.0,-0.0,0.0,0.0,0.0,-0.087,0.0,-0.0,-0.078,-0.0,0.0,0.0,-0.181,0.0,0.0,-0.0,0.0,0.028,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.077,0.0,-0.0,-0.0,0.0,0.0,-0.005,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.138,-0.121,0.0,0.0,0.0,-0.0,-0.025,0.0,-0.0,-0.0,0.003,-0.065,-0.076,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0,-0.003,0.0,0.0,-0.0,0.01,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.037,0.0,-0.0,-0.0,0.121,-0.0,0.0,-0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.0,0.0,0.0,0.0,-151.317
2016-04-27,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18,-0.0,0.0,0.0,0.106,0.0,0.0,-0.097,0.0,0.0,0.0,0.273,-0.096,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.041,0.118,0.0,0.0,0.166,-0.0,0.154,0.0,-0.028,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.028,0.0,0.0,-0.012,-0.0,0.0,0.0,0.0,0.0,-0.0,0.75,0.058,0.0,-0.081,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.077,-0.0,0.069,0.0,-0.0,0.104,0.0,-0.0,0.0,0.159,0.039,-0.0,0.0,-0.07,0.059,0.0,0.0,-0.023,-0.001,-0.0,-0.0,-0.135,0.011,-0.074,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.083,0.0,-0.0,0.0,0.0,-0.112,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.041,0.0,0.0,-0.0,0.0,0.009,-0.067,-0.0,-0.033,-0.0,-0.033,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.045,0.0,0.0,-0.0,0.0,0.124,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.008,-0.0,-0.0,0.0,0.0,0.0,-0.027,-0.218,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.027,-0.0,-0.0,0.146,0.0,-0.0,-0.0,0.0,-0.0,0.017,0.0,0.115,0.0,0.0,0.079,0.0,-0.059,-0.0,-0.0,-0.118,-0.0,-0.0,0.0,0.0,-0.172,0.0,0.0,-0.045,0.03,-0.079,0.0,-0.0,-0.0,0.295,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.004,0.0,0.0,-0.069,0.0,-0.029,-0.0,-0.0,0.0,0.0,-0.0,0.062,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.132,0.0,-0.0,-0.013,-0.0,-0.019,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007,0.226,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.062,0.0,-0.056,0.0,0.0,-0.0,-0.0,-0.071,-0.094,-0.0,0.005,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.051,0.0,-0.0,-0.126,-0.0,0.0,-0.0,0.0,0.0,-0.108,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.004
2016-04-28,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.027,0.0,-0.0,0.0,0.048,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.158,-0.08,0.0,-0.0,0.0,0.0,-0.0,-0.138,-0.046,0.0,0.0,0.024,0.0,-0.0,0.0,0.039,0.0,-0.0,-0.038,-0.0,-0.035,0.0,-0.018,0.0,0.0,0.0,-0.033,-0.0,0.0,0.0,0.314,0.0,-0.0,0.846,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.037,-0.0,-0.007,0.0,-0.053,0.0,-0.0,0.0,0.0,-0.0,0.0,0.046,-0.0,0.115,0.096,0.021,-0.094,0.0,-0.0,0.0,0.0,0.127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.037,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.029,0.0,-0.0,0.0,0.273,0.031,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.027,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.013,-0.045,0.164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.043,-0.0,-0.0,-0.0,-0.0,0.214,0.0,0.01,0.011,0.0,0.018,0.0,-0.0,-0.0,-0.099,0.0,-0.025,0.0,0.0,0.0,-0.045,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.088,-0.0,-0.0,-0.026,-0.0,0.0,0.0,-0.043,-0.134,0.0,0.0,-0.0,-0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.11,-0.018,-0.0,-0.092,-0.02,0.0,0.0,-0.0,0.1,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.007,0.0,0.0,0.0,-0.0,0.026,0.1,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.036,-0.0,0.061,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.011,-0.0,-0.0,-0.0,0.0,-0.094,0.026,0.0,0.0,-0.001,0.0,0.0,-0.006,0.0,0.0,-0.001,0.0,-0.0,-0.0,0.037,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.079,-0.0,-0.0,-0.08,-0.0,-0.0,0.0,0.0,-0.0,-0.003,0.0,0.0,0.0,-0.052,0.028,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.988
2016-04-29,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.128,0.0,-0.0,0.0,-0.0,0.164,-0.002,-0.0,-0.0,-0.046,0.0,0.0,0.0,0.0,-0.007,0.0,0.041,0.013,-0.0,-0.0,-0.0,-0.0,-0.018,-0.0,0.025,0.0,0.0,-0.047,-0.035,0.002,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.084,0.138,-0.0,0.0,-0.0,-0.018,-0.0,0.011,-0.0,0.053,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.023,-0.0,-0.004,-0.0,0.0,0.0,0.0,-0.0,-0.035,-0.0,-0.0,-0.131,0.005,-0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.021,0.124,0.03,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.002,-0.044,-0.0,-0.0,-0.0,-0.0,0.0,-0.12,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.093,-0.0,-0.0,-0.042,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.014,-0.0,-0.025,0.092,-0.0,0.0,-0.0,-0.0,-0.0,-0.003,-0.0,0.0,0.0,0.0,-0.042,-0.0,0.012,-0.0,-0.024,0.0,0.082,0.0,-0.0,-0.0,-0.0,-0.066,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.019,0.0,0.0,0.199,-0.085,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.002,-0.162,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.192,-0.0,0.185,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.09,0.0,-0.0,-0.0,-0.035,-0.006,0.0,-0.156,0.0,0.0,-0.0,0.0,-0.0,-0.036,0.0,-0.081,0.0,-0.054,0.0,-0.104,-0.049,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.015,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.116,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.115,-0.028,-0.066,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.068,0.0,-0.0,-0.0,-0.049,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.934,0.0,0.0,0.0,0.0,-149.347
